Running on host compute101.bc4.acrc.priv
Time is Fri Apr 15 00:00:25 BST 2022
Directory is /user/home/kh19026/assignment2/advanced-hpc-lbm
Slurm job ID is 10225530
This job runs on the following machines:
compute[101,103-104,106]
0.002478 5.434800 0.000590 5.437868
0.001998 2.977971 0.000842 2.980811
0.036638 2.172608 0.001465 2.210711
0.035674 1.801221 0.001521 1.838416
0.036020 1.641561 0.003037 1.680618
0.035856 1.533278 0.002180 1.571314
0.034018 1.419863 0.003013 1.456894
0.034885 1.284233 0.003107 1.322225
0.029433 1.157231 0.003916 1.190580
0.031701 1.213574 0.004495 1.249770
0.034807 1.153749 0.004985 1.193541
0.029835 1.083688 0.006362 1.119885
0.037289 1.050316 0.005446 1.093051
0.035829 1.018605 0.003977 1.058411
0.103203 0.909118 0.004179 1.016500
0.037573 0.800667 0.005574 0.843814
0.001317 0.804738 0.004860 0.810915
0.001404 0.796416 0.003247 0.801067
0.000983 0.764724 0.002238 0.767945
0.141766 0.785051 0.006028 0.932845
0.001363 0.751441 0.002868 0.755672
0.038671 0.702164 0.002473 0.743308
0.037354 0.673415 0.002635 0.713404
0.001284 0.683674 0.002715 0.687673
0.142380 0.634494 0.002467 0.779341
0.057270 0.621658 0.003551 0.682479
0.034044 0.604290 0.002621 0.640955
0.001144 0.628808 0.002921 0.632873
0.005296 0.606562 0.002658 0.614516
0.001331 0.605961 0.002405 0.609697
0.001401 0.587451 0.002554 0.591406
0.033630 0.536055 0.002753 0.572438
0.001484 0.549715 0.002713 0.553912
0.036752 0.566425 0.002489 0.605666
0.000969 0.544747 0.002809 0.548525
0.031902 0.516773 0.002586 0.551261
0.001211 0.505172 0.002710 0.509093
0.001607 0.509195 0.003171 0.513973
0.001401 0.508288 0.002576 0.512265
0.004850 0.493825 0.002888 0.501563
0.001550 0.521788 0.002792 0.526130
0.001053 0.512322 0.002854 0.516229
0.002328 0.451512 0.002774 0.456614
0.061003 0.450593 0.003107 0.514703
0.035594 0.482197 0.003028 0.520819
0.001612 0.474581 0.003149 0.479342
0.001392 0.431254 0.003253 0.435899
0.001247 0.464590 0.003106 0.468943
0.001366 0.453186 0.003364 0.457916
0.032253 0.488061 0.003391 0.523705
0.001420 0.460183 0.003184 0.464787
0.138733 0.448028 0.003317 0.590078
0.003341 0.460312 0.002785 0.466438
0.003263 0.444093 0.002844 0.450200
0.039625 0.463066 0.003262 0.505953
0.001365 0.473110 0.002796 0.477271
0.101395 0.411578 0.002885 0.515858
0.001659 0.395958 0.003065 0.400682
0.101778 0.428514 0.002917 0.533209
0.110630 0.389835 0.002956 0.503421
0.116329 0.387216 0.003086 0.506631
0.002146 0.406339 0.003034 0.411519
0.115530 0.415869 0.003168 0.534567
0.008367 0.394146 0.003619 0.406132
0.001878 0.399028 0.003649 0.404555
0.001664 0.379345 0.003848 0.384857
0.001745 0.362509 0.003733 0.367987
0.002099 0.413509 0.006745 0.422353
0.110307 0.366397 0.003841 0.480545
0.111662 0.357867 0.003688 0.473217
0.001925 0.406398 0.003864 0.412187
0.001593 0.454120 0.005243 0.460956
0.110265 0.388812 0.003791 0.502868
0.109740 0.373942 0.003768 0.487450
0.003448 0.389807 0.003929 0.397184
0.084820 0.448021 0.008532 0.541373
0.003680 0.379057 0.003981 0.386718
0.097994 0.415374 0.005226 0.518594
0.109688 0.414542 0.004221 0.528451
0.107113 0.412274 0.004091 0.523478
0.107667 0.400195 0.004292 0.512154
0.100023 0.395142 0.004039 0.499204
0.104788 0.388197 0.004489 0.497474
0.109323 0.407824 0.004225 0.521372
0.002134 0.425670 0.004183 0.431987
0.111550 0.363387 0.004285 0.479222
0.001633 0.390149 0.004470 0.396252
0.139613 0.391329 0.004556 0.535498
0.001725 0.420624 0.004450 0.426799
0.111707 0.408555 0.004580 0.524842
0.229201 0.415230 0.004879 0.649310
0.111856 0.394013 0.004856 0.510725
0.001745 0.408675 0.007209 0.417629
0.001698 0.401370 0.004958 0.408026
0.002187 0.475920 0.008681 0.486788
0.124546 0.373044 0.006177 0.503767
0.002218 0.412703 0.004580 0.419501
0.001685 0.486879 0.008578 0.497142
0.110078 0.394057 0.007445 0.511580
0.110674 0.354188 0.005282 0.470144
0.099665 0.404895 0.008242 0.512802
0.002461 0.407868 0.005072 0.415401
0.101369 0.337363 0.005179 0.443911
0.121610 0.414964 0.007184 0.543758
0.114481 0.349653 0.005544 0.469678
0.002544 0.357021 0.005645 0.365210
0.002250 0.527774 0.033132 0.563156
0.114514 0.412074 0.008478 0.535066
0.003791 0.351903 0.006509 0.362203
0.002476 0.441662 0.005780 0.449918
0.372320 0.391996 0.100027 0.864343
0.108499 0.463038 0.006668 0.578205
